fecha,total_articulos
2020-08-09,27024
2020-08-10,36909
2020-08-11,42713
2020-08-12,71072
2020-08-13,39349
2020-08-14,35305
2020-08-15,29427
2020-08-16,22613
2020-08-17,32532
2020-08-18,34913
2020-08-19,37284
2020-08-20,37926
2020-08-21,33913
2020-08-22,34978
2020-08-23,33031
2020-08-24,37672
2020-08-25,41840
2020-08-26,46027
2020-08-27,44403
2020-08-28,39546
2020-08-29,41175
2020-08-30,35862
2020-08-31,38108
2020-09-01,38060
2020-09-02,32722
2020-09-03,40441
2020-09-04,39203
2020-09-05,43002
2020-09-06,34961
2020-09-07,37913
2020-09-08,36415
2020-09-09,41626
2020-09-10,40261
2020-09-11,37561
2020-09-12,40271
2020-09-13,39528
2020-09-14,29941
2020-09-15,26053
2020-09-16,27028
2020-09-17,40718
2020-09-18,39284
2020-09-19,36796
2020-09-20,31489
2020-09-21,32130
2020-09-22,32866
